# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
173,both,pron,代词,两者(都); 两人(都); 双方
174,bottle,n,名词,瓶
175,bottom,n,名词,底部
176,bowl,n,名词,碗
177,box,n,名词,箱；盒
178,boy,n,名词,男孩
179,brave,adj,形容词,勇敢的
180,bread,n,名词,面包
181,"break (broke, broken)",v,动词,打破；打断
182,breakfast,n,名词,早饭
183,breath,n,名词,呼吸
184,bridge,n,名词,桥
185,brief,adj,形容词,简短的，简洁的
186,bright,adj,形容词,明亮的; 聪明的
187,brightly,adv,副词,明亮地
188,"bring (brought, brought)",v,动词,带来；拿来
189,British,n,名词,英国人
190,broadcast,n,名词,广播；节目
191,brother,n,名词,兄弟
192,brown,n,名词,棕色；褐色
193,brush,n,名词,刷子
194,"build (built, built)",v,动词,建造；建筑
195,building,n,名词,建筑物；大楼
196,bund (the Bund),n,名词,外滩
197,"burn (burnt/burned, burnt/burned)",v,动词,燃烧
198,bus,n,名词,公共汽车
199,business,n,名词,商业；生意
200,businessman,n,名词,商人
201,businesswoman,n,名词,女商人
202,busy,adj,形容词,忙
203,but,conj,连词,但是
204,butter,n,名词,黄油
205,butterfly,n,名词,蝴蝶
206,button,n,名词,按钮；纽扣
207,"buy (bought, bought)",v,动词,购买
208,by,prep,介词,靠近；在……旁边；
209,bye,int,感叹词,再见
210,cabbage,n,名词,卷心菜
211,cake,n,名词,蛋糕；饼；糕
212,calculator,n,名词,计算器
213,call,v,动词,称呼；取名；呼唤；打电话给……
214,camera,n,名词,照相机
215,camp,n,名词,野营
216,can (could),v. aux,v. aux,能，会；可能
217,Canadian,adj,形容词,加拿大的
218,cancel,v,动词,取消
219,candle,n,名词,蜡烛
220,cap,n,名词,帽子
221,capital,n,名词,首都
222,captain,n,名词,船长
223,car,n,名词,小汽车
224,card,n,名词,卡片
225,care,n,名词,v. 小心；关心；照管
226,careful,adj,形容词,小心的；仔细的
227,carefully,adv,副词,小心地；仔细地
228,carrot,n,名词,胡萝卜
229,carry,v,动词,运送；搬运；携带
230,cartoon,n,名词,动画片; 漫画
231,case,n,名词,箱，盒；案件
232,cat,n,名词,猫
233,"catch (caught, caught)",v,动词,接住；捉住；
234,cause,n,名词,原因
235,celebrate,v,动词,庆祝
236,cent,n,名词,分(美国货币单位)
237,centre (center),n,名词,中心；中央
238,century,n,名词,"世纪, 百年"
239,certain,adj,形容词,一定的，有把握的
240,certainly,adv,副词,一定；无疑；是的，
241,chair,n,名词,椅子
242,chance,n,名词,机遇
243,change,v,动词,改变；更改；兑零钱
244,changeable,adj,形容词,易变的；可变的
245,channel,n,名词,(电视)频道
246,character,n,名词,特征，特性；性格；人物，
247,charge,n,名词,"主管, 掌管"
248,charity,n,名词,慈善
249,cheap,adj,形容词,"便宜的, 廉价的"
250,check,n,名词,v. 检查
251,cheer,v,动词,n. 欢呼；喝彩
252,cheese,n,名词,奶酪
253,chemical,adj,形容词,化学的
254,chemistry,n,名词,化学
255,chess,n,名词,国际象棋
256,chest,n,名词,胸
257,chicken,n,名词,小鸡；鸡肉
258,chief,n,名词,首领，头目
259,child (pl. children),n,名词,孩子；儿童
260,Chinese,n,名词,中国人；汉语
261,chocolate,n,名词,巧克力
262,choice,n,名词,选择
