# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
743,into,prep,介词,1.（动作方向）到……内；向内
744,introduce,v,动词,介绍
745,invent,v,动词,发明，创造
746,invention,n,名词,发明，创造；发明物
747,inventor,n,名词,发明者，发明家
748,invitation,n,名词,邀请
749,invite,v,动词,邀请
750,iron,n,名词,铁
751,island,n,名词,岛屿
752,Italian,n,名词,意大利人；意大利语
753,Italy,n,名词,意大利
754,item,n,名词,节目；项目
755,jacket,n,名词,短上衣，茄克衫
756,jam,n,名词,果酱；拥挤
757,January,n,名词,一月
758,Japanese,n,名词,日本人；日语
759,jeans,n,名词,牛仔裤
760,job,n,名词,工作；零活
761,join,v,动词,参加；加入
762,joke,n,名词,玩笑
763,journey,n,名词,旅行
764,joy,n,名词,欢乐；高兴
765,judge,n,名词,法官，评判员
766,juice,n,名词,果汁
767,July,n,名词,七月
768,jump,v,动词,跳；跳跃
769,June,n,名词,六月
770,junior,adj,形容词,初级的
771,just,adv,副词,正好；恰好；刚才；仅；不过
772,keen,adj,形容词,热心的
773,"keep (kept, kept)",v,动词,保持；保存；
774,key,n,名词,钥匙；答案
775,keyboard,n,名词,键盘
776,kick,v,动词,踢
777,kid,v,动词,开玩笑
778,kill,v,动词,杀死，弄死
779,kilometre,n,名词,公里，千米
780,kind,adj,形容词,友好的；和善的
781,kindergarten,n,名词,幼儿园
782,kindness,n,名词,仁慈；好意
783,king,n,名词,王；国王
784,kitchen,n,名词,厨房
785,kite,n,名词,风筝
786,knife (pl. knives),n,名词,小刀
787,knock,v,动词,敲；击；敲门
788,"know (knew, known)",v,动词,了解；知道；认识
789,knowledge,n,名词,知识
790,lab,n,名词,实验室
791,lady,n,名词,女士
792,lake,n,名词,湖
793,lamp,n,名词,灯
794,land,n,名词,陆地；土地
795,language,n,名词,语言
796,lantern,n,名词,灯
797,large,adj,形容词,大的；巨大的
798,last,adj,形容词,最后的；最近刚过去的
799,late,adj,形容词,晚的；迟的
800,later,adv,副词,后来，以后
801,laugh,v,动词,n. 笑；大笑；嘲笑
802,law,n,名词,法律
803,lawyer,n,名词,律师
804,"lay (laid, laid)",v,动词,放，搁；下（蛋）
805,lazy,adj,形容词,懒惰的
806,"lead (led, led)",v,动词,领导；带领
807,"learn (learned, learned ; learnt, learnt)",v,动词,学习
808,"leave (left, left)",v,动词,离开；把……留下；剩下
809,lecture,n,名词,讲演；讲座
810,left,adj,形容词,左边的
811,leg,n,名词,腿
812,"lend (lent, lent)",v,动词,把……借给；借出
813,length,n,名词,长度
814,lesson,n,名词,课；功课
815,"let (let, let)",v,动词,让
816,letter,n,名词,字母；信
817,level,n,名词,水平面
818,librarian,n,名词,图书管理员
819,library,n,名词,图书馆；图书室
820,licence,n,名词,执照; 许可证
821,"lie (lay, lain)",v,动词,躺；卧
822,life (pl. lives),n,名词,生命；一生；生活
823,lift,n,名词,电梯
824,light,n,名词,光；光亮；灯；灯光
825,like,v,动词,1. 喜欢；喜爱
826,likely,adj,形容词,很可能发生的；有希望的
827,line,n,名词,排，行；线
828,lion,n,名词,狮子
829,lip,n,名词,嘴唇；唇状物
830,liquid,n,名词,液体
831,list,n,名词,目录，清单
832,listen,v,动词,听；倾听
833,litter,n,名词,废物，垃圾
834,"little (less, least)",adj,形容词,小；少量的
835,live,v,动词,居住；活着；生存；生活
836,local,adj,形容词,当地的；地方的
837,locate,v,动词,确定……的地点；把……设置在
838,location,n,名词,位置；场所
839,lock,n,名词,＆v. 锁
840,London,n,名词,伦敦
841,look,v,动词,看；观看；（后面加表语）好像；
842,"lose (lost, lost)",v,动词,失；丢失
843,lot,n,名词,许多
844,loud,adj,形容词,响亮的；大声的
845,loudly,adv,副词,大声地
846,love,n,名词,爱；热爱；喜欢
847,lovely,adj,形容词,可爱的；好看的；美好的
848,low,adj,形容词,低；矮
849,luck,n,名词,幸运
850,luckily,adv,副词,幸运地；侥幸地
851,lucky,adj,形容词,幸运的；吉祥的
852,lunch,n,名词,午餐；午饭
853,machine,n,名词,机器
854,madam,n,名词,（对妇女的尊称）夫人，女士，太太
855,magazine,n,名词,杂志
856,mail,n,名词,邮件；邮寄
857,main,adj,形容词,主要的
858,mainly,adv,副词,主要地
859,"make (made, made)",v,动词,做; 制造；使得
860,mall,n,名词,大型商场
861,male,n,名词,男性
862,man (pl. men),n,名词,成年男人；人；人类
863,manage,v,动词,管理；处理；经营
864,manager,n,名词,经理
865,manners,n,名词,礼貌
866,"many (more, most)",adj,形容词,许多的
867,map,n,名词,地图
868,March,n,名词,三月
869,mark,n,名词,(考试等)分数；记号；符号
870,market,n,名词,市场；集市
871,match,n,名词,比赛；竞赛；火柴
872,material,n,名词,材料，原料
873,maths,n,名词,数学
874,matter,n,名词,麻烦事；事情；物质
875,May,n,名词,五月
876,may (might),v. aux,v. aux,可以；可能
877,maybe,adv,副词,大概；或许
878,meal,n,名词,一餐；一顿(饭)
879,"mean (meant, meant)",v,动词,意味着；意思是；
880,meat,n,名词,肉
881,medical,adj,形容词,医学的; 医疗的
882,medicine,n,名词,药
883,medium,adj,形容词,中间的; 中等的
884,"meet (met, met)",v,动词,"碰见, 遇见；会见；迎接；满足"
885,meeting,n,名词,会；集会.
886,member,n,名词,成员；会员
887,memorize,v,动词,记住
888,memory,n,名词,记忆
889,menu,n,名词,菜单
890,message,n,名词,消息；音信
891,metal,n,名词,金属
892,method,n,名词,方法
893,metre (meter),n,名词,"米, 公尺"
894,middle,n,名词,中间；当中；中部；腰部
895,mile,n,名词,英里
896,milk,n,名词,牛奶
897,mind,n,名词,思想；想法
898,minus,prep,介词,减
899,minute,n,名词,分(钟)；一会儿；瞬间
900,mirror,n,名词,镜子
901,miss,v,动词,错过; 惦念
902,Miss,n,名词,小姐 (对未婚女子的称呼)
903,mistake,n,名词,错误
904,mixture,n,名词,混合物
905,model,n,名词,模型；范例
906,modern,adj,形容词,现代的
907,moment,n,名词,一会儿；瞬间；片刻
908,Monday,n,名词,星期一
909,money,n,名词,钱；货币
910,monitor,n,名词,班长；监视器
911,monkey,n,名词,猴
912,month,n,名词,月；月份
913,moon,n,名词,月亮
914,more,adj,形容词,(many和 much的比较级)更大的；更多的
915,morning,n,名词,早晨
916,most,adj,形容词,(many和 much的最高级)最大的；最多的
917,mother,n,名词,母亲
918,motor,n,名词,"电动机, 马达"
919,motorcycle,n,名词,摩托车
920,mountain,n,名词,山
921,mouse,n,名词,老鼠；鼠标
922,mouth,n,名词,"口, 嘴"
923,move,v,动词,移动；搬动；搬家
924,movie,n,名词,电影
925,Mr,n,名词,先生
926,Mrs,n,名词,"夫人, 太太"
927,"much (more, most)",adj,形容词,(修饰不可数名词)大量的；许多的
928,museum,n,名词,博物馆
929,music,n,名词,音乐；乐曲
930,must,v. aux,v. aux,必须；需要；一定是；必定是
931,name,n,名词,名字; 姓名; 名称
932,narrow,adj,形容词,狭窄的
933,nation,n,名词,民族
934,national,adj,形容词,民族的；国家的；全国性的
935,nationality,n,名词,国籍
936,native,adj,形容词,本土的，本国的
937,natural,adj,形容词,"大自然的, 自然的"
938,nature,n,名词,大自然
939,near,prep,介词,在……附近；靠近
940,nearby,adj,形容词,附近的
941,nearly,adv,副词,几乎；差不多
942,necessary,adj,形容词,必要的；必须的
943,need,v. aux,v. aux,v. 必须
944,neither,pron,代词,(两者)都不
945,nervous,adj,形容词,紧张的
946,network,n,名词,网络；网状物
947,never,adv,副词,决不；从来没有
948,new,adj,形容词,新的；新鲜的
949,news,n,名词,新闻；消息
950,newspaper,n,名词,报纸
951,next,adj,形容词,"最近的, 紧挨着的, 隔壁的；下一个的"
952,nice,adj,形容词,令人愉快的；美好的
953,night,n,名词,夜；夜间；黑夜
954,no,adj,形容词,adv. 没有；不；无
955,nobody,pron,代词,没有人；谁也不
956,noise,n,名词,声音；响声；噪声
957,noisy,adj,形容词,嘈杂的；喧闹的
958,none,pron,代词,没有人；没有任何东西
959,noodle,n,名词,面条
960,nor,conj,连词,也不
961,north,n,名词,北；北方
962,nose,n,名词,鼻子
963,not,adv,副词,不
964,note,n,名词,笔记；便条
965,nothing,pron,代词,没有东西；没有什么
966,notice,n,名词,通知
967,novel,n,名词,(长篇)小说
968,November,n,名词,十一月
969,now,adv,副词,现在
970,nowadays,adv,副词,如今
971,number,n,名词,数；数字；号码；数量
972,nurse,n,名词,护士；保育员
973,obey,v,动词,服从；听从；顺从
974,observe,v,动词,观察；遵守；评论
975,occupation,n,名词,职业
976,ocean,n,名词,海洋
977,October,n,名词,十月
978,of,prep,介词,的
979,off,adv,副词,1. 离开；走开
980,offer,v,动词,n. 提供
981,office,n,名词,办公室
982,officer,n,名词,官员；办事员
983,official,adj,形容词,官方的；官员的
984,often,adv,副词,常常；经常
985,oil,n,名词,油；石油
986,OK,adj,形容词,adv. 对；好；可以；行
987,old,adj,形容词,年老的；旧的；古老的
988,Olympic,adj,形容词,奥林匹克的
989,on,prep,介词,在……上; 在……时刻；关于
990,once,adv,副词,一次；一度；从前
991,one,pron,代词,一 (个、只……)
992,only,adv,副词,只；只有；只是；仅仅
993,open,v,动词,打开；张开；开办；开设
994,operate,v,动词,施行手术；开刀
995,operation,n,名词,手术
996,opinion,n,名词,观点；看法
997,opposite,adj,形容词,prep. 在……对面；相对的；对立的
998,or,conj,连词,或者；还是；否则
999,orange,n,名词,橘子；橙子；橙色
1000,order,n,名词,命令；指示
1001,ordinary,adj,形容词,普通的；平常的
1002,organization,n,名词,组织；团体；机构
1003,organize,v,动词,组织
1004,other,adj,形容词,别的；另外的
1005,out,adv,副词,离开；向外；在外
1006,outdoor,adj,形容词,户外的
1007,outside,prep,介词,在……外边
1008,oven,n,名词,炉子
1009,over,prep,介词,在……上方；越过；遍及；超过
1010,own,adj,形容词,自己的
1011,owner,n,名词,拥有者；物主
1012,the Pacific,n,名词,太平洋
1013,pack,n,名词,包
1014,page,n,名词,页；页码
1015,pain,n,名词,疼痛; 痛苦
1016,paint,v,动词,（用颜料等）画，绘
1017,painter,n,名词,画家，绘画者；漆工
1018,painting,n,名词,画；油画，水彩画
1019,pair,n,名词,一对；一双
1020,palace,n,名词,宫；宫殿
1021,panda,n,名词,熊猫
1022,paper,n,名词,（不可数）纸；（可数）报纸；考卷；文件
1023,parent,n,名词,父亲或母亲；(pl. 双亲)
1024,Paris,n,名词,（法国首都）巴黎
1025,park,n,名词,公园
1026,part,n,名词,部分；角色；零部件
1027,party,n,名词,聚会；政党；党派
1028,pass,v,动词,经过；路过；传递；通过
1029,passage,n,名词,一节，一段；通道
1030,passenger,n,名词,乘客；旅客
1031,passport,n,名词,护照
1032,past,prep,介词,（指时间等）过……；经过
1033,patient,n,名词,病人
1034,"pay (paid, paid)",v,动词,付款，支付；给……报酬
1035,peace,n,名词,和平
1036,peach,n,名词,桃子
1037,pear,n,名词,梨
1038,pen,n,名词,钢笔
1039,pencil,n,名词,铅笔
1040,penny,n,名词,（英国货币单位）便士
1041,people,n,名词,人；人民；人们
1042,per,n,名词,每，每一
1043,percent,n,名词,每百中，百分之……
1044,perfect,adj,形容词,"完美的, 极好的"
1045,performance,n,名词,表演；演出
1046,perhaps,adv,副词,也许；可能
1047,person,n,名词,人
1048,pet,n,名词,宠物
1049,phone,n,名词,电话
1050,photo,n,名词,照片
1051,physical,adj,形容词,物理的；身体的
1052,physics,n,名词,物理学
1053,piano,n,名词,钢琴
1054,pick,v,动词,拾；摘，采
1055,picnic,n,名词,野餐
1056,picture,n,名词,图画；图片；照片；影片
1057,piece,n,名词,块；片；张；件；段；碎片；部件
1058,pig,n,名词,猪
1059,pilot,n,名词,飞行员
1060,pin,v,动词,用针别住
1061,pineapple,n,名词,菠萝
1062,pink,n,名词,粉红
1063,pipe,n,名词,烟斗；管子
1064,pity,n,名词,怜悯；同情；可惜
1065,pizza,n,名词,比萨饼
1066,place,n,名词,地方；处所
1067,plan,v,动词,n. 计划，打算
1068,plane,n,名词,飞机
1069,planet,n,名词,行星
1070,plant,n,名词,植物
1071,plastic,adj,形容词,塑料的
1072,plate,n,名词,盘子，碟子
1073,platform,n,名词,站台
1074,play,v,动词,玩；游戏；打（球）；演奏；扮演
1075,playground,n,名词,操场
1076,pleasant,adj,形容词,令人愉快的
1077,pleased,adj,形容词,感到高兴的；感到满意的
1078,please,v,动词,（用于祈使语气）请
1079,pleasure,n,名词,愉快；高兴
1080,plenty,n,名词,丰富，充足；大量
1081,plot,n,名词,块
1082,plus,prep,介词,加
1083,pocket,n,名词,衣袋
1084,poem,n,名词,诗歌
1085,point,v,动词,指；指向
1086,pole,n,名词,极（点）；杆
1087,policeman (pl. policemen),n,名词,警察
1088,politely,adv,副词,有礼貌地
1089,politics,n,名词,政治
1090,pollute,v,动词,污染，弄脏
1091,pollution,n,名词,污染
1092,pool,n,名词,水池，水塘
1093,poor,adj,形容词,贫穷的；可怜的；不好的
1094,population,n,名词,人口；全体居民
1095,pork,n,名词,猪肉
1096,possible,adj,形容词,可能的；可能发生的
1097,possibly,adv,副词,可能地；也许
1098,post,n,名词,邮政；邮寄
1099,postcard,n,名词,明信片
1100,postman (pl. postmen),n,名词,邮递员
1101,pot,n,名词,锅；罐
1102,potato,n,名词,土豆，马铃薯
1103,pound,n,名词,磅（重量单位）；英镑
1104,power,n,名词,电源；力量；能源
1105,powerful,adj,形容词,强大的
1106,practice,n,名词,练习；操练；实践
1107,praise,v,动词,赞扬；表扬
1108,prefer,v,动词,宁可；更喜欢
1109,prepare,v,动词,准备，预备
1110,present,n,名词,礼物；赠品；现在
1111,president,n,名词,总统
1112,press,v,动词,按
1113,pretty,adj,形容词,漂亮的，美丽的
1114,prevent,v,动词,防止，预防；阻止，阻挡
1115,price,n,名词,价格
1116,primary,adj,形容词,超等的
1117,print,v,动词,打印，印刷
1118,prison,n,名词,监狱
1119,private,adj,形容词,私人的；私有的
1120,prize,n,名词,奖品
1121,probably,adv,副词,大概，或许
1122,problem,n,名词,问题，习题
1123,process,v,动词,处理；加工
1124,produce,v,动词,产生；生产
1125,professional,adj,形容词,职业的，专业的
1126,programme,n,名词,节目；节目单
1127,progress,n,名词,进步；进展
1128,project,n,名词,工程；课程；作业；项目；规划
1129,promise,v,动词,允诺；承诺；答应
1130,pronounce,v,动词,发音
1131,properly,adv,副词,适当地
1132,protect,v,动词,保护
1133,protection,n,名词,"保护,防护"
1134,proud,adj,形容词,自豪的；骄傲的
1135,prove,v,动词,证明
1136,provide,v,动词,提供; 供给
1137,public,adj,形容词,公众的，公共的
1138,publish,v,动词,出版
1139,pull,v,动词,拉；拖；拔
1140,pump,v,动词,抽吸；泵送
1141,pupil,n,名词,学生
1142,push,v,动词,n. 推
1143,"put (put, put)",v,动词,放；摆
1144,quarter,n,名词,四分之一，一刻钟
1145,queen,n,名词,王后
1146,question,n,名词,问题
1147,quick,adj,形容词,快的；迅速的
1148,quickly,adv,副词,快地；迅速地
1149,quiet,adj,形容词,安静的
1150,quite,adv,副词,完全；十分；相当
1151,quiz,n,名词,测验
1152,race,v,动词,比速度；赛跑
1153,radio,n,名词,无线电；收音机
1154,railway,n,名词,铁道，铁路
1155,rain,n,名词,雨；雨水
1156,rainy,adj,形容词,有雨的，多雨的
1157,raise,v,动词,举起；使升高；饲养（家禽，家畜）；
1158,rather,adv,副词,相当，颇
1159,reach,v,动词,抵达；到达
1160,"read (read, read)",v,动词,读；朗读
1161,ready,adj,形容词,准备好的；乐于
1162,real,adj,形容词,真的；真正的
1163,realize,v,动词,认识到，意识到；实现 really adv. 真正地；确实
1164,reason,n,名词,理由；原因
1165,"rebuild (rebuilt, rebuilt)",v,动词,重建
1166,receive,v,动词,收到
1167,recent,adj,形容词,最近的，近来的
1168,recently,adv,副词,最近；新进；近来
1169,recite,v,动词,背诵
1170,record,n,名词,记录；唱片，录了音的磁带
1171,recorder,n,名词,录音机
1172,red,n,名词,红色
1173,reduce,v,动词,减少；缩减
1174,refuse,v,动词,拒绝；回绝
1175,relative,n,名词,亲戚
1176,relax,v,动词,（使）放松，松弛
1177,rely,v,动词,依靠
1178,remember,v,动词,记得；想记
1179,repair,v,动词,修理
1180,repeat,v,动词,重复
1181,reply,v,动词,n. 回答，答复
1182,report,n,名词,报告；汇报；成绩单
1183,reporter,n,名词,记者
1184,republic,n,名词,共和国
1185,require,v,动词,需要；要求
1186,research,v,动词,探究；研究
1187,response,n,名词,响应;反应;作答
1188,responsible,adj,形容词,负责的；有责任的
1189,rest,n,名词,休息； (the --) 剩余部分；其余
1190,restaurant,n,名词,餐馆；饭店
1191,result,n,名词,结果；成果
1192,"retell (retold, retold)",v,动词,复述
1193,retired,adj,形容词,退休的
1194,return,v,动词,回，回来；返回；归还
1195,review,v,动词,复习
1196,revision,n,名词,复习
1197,rice,n,名词,稻；米；米饭
1198,rich,adj,形容词,富裕的；有钱的；味浓的，重油的
1199,rid,v,动词,使摆脱
1200,"ride (rode, ridden)",v,动词,骑马；骑自行车
1201,right,adj,形容词,正确的，对的，恰当的；右边的
1202,"ring (rang, rung)",v,动词,（钟，铃等）响；摇铃；
1203,rise,v,动词,升起，上升；起立
1204,river,n,名词,江，河
1205,road,n,名词,路；道路；街道
1206,roast,v,动词,烘烤
1207,rob,v,动词,抢劫
1208,robot,n,名词,机器人
1209,rock,n,名词,岩石
1210,rocket,n,名词,火箭
1211,room,n,名词,房间；室；空间
1212,root,n,名词,根
1213,rope,n,名词,绳子
1214,round,adj,形容词,圆的；球行的
1215,rough,adj,形容词,不平的；粗糙的；崎岖的
1216,row,n,名词,排，行
1217,rubbish,n,名词,垃圾
1218,rule,n,名词,规章；法规
1219,ruler,n,名词,尺
1220,"run (ran, run)",v,动词,跑；奔跑；经营；管理
1221,rush,v,动词,冲，奔，闯
1222,sad,adj,形容词,悲伤的；使人悲伤
1223,sadly,adv,副词,难过地；悲伤地
1224,safe,adj,形容词,安全的；平安的
1225,safely,adv,副词,安全地；平安地
1226,safety,n,名词,安全
1227,sail,v,动词,航行
1228,salad,n,名词,色拉
1229,sale,n,名词,卖，出售，销售；廉价出售
1230,salt,n,名词,盐
1231,same,adj,形容词,同一的；同样的
1232,sandwich,n,名词,三明治
1233,satisfied,adj,形容词,满意的，满足的
1234,Saturday,n,名词,星期六
1235,sauce,n,名词,调味汁，酱汁
1236,save,v,动词,搭救；节省；储蓄
1237,"say (said, said)",v,动词,说，讲
1238,saying,n,名词,谚语，俗语；格言
1239,scarf,n,名词,围巾
1240,school,n,名词,学校
1241,science,n,名词,科学；自然科学
1242,scientist,n,名词,科学家
1243,score,n,名词,（比赛中）得分；（测验中）分数 screen n. 屏幕
1244,sea,n,名词,海；海洋
1245,seafood,n,名词,海味
1246,search,v,动词,n. 搜寻
1247,seaside,n,名词,海边；海滨
1248,season,n,名词,季；季节
1249,seat,n,名词,座位
1250,second,n,名词,第二人（或物）；秒
1251,secondary,adj,形容词,中等的；第二的
1252,secret,n,名词,秘密
1253,secretary,n,名词,秘书
1254,section,n,名词,部门；栏目
1255,"see (saw, seen)",v,动词,看；瞧；理解；领会；
1256,seem,v,动词,似乎；好像
1257,"sell (sold, sold)",v,动词,卖；销售
1258,"send (sent, sent)",v,动词,打发；派遣；送；寄发
1259,senior,adj,形容词,高级的；高年级的
1260,sense,n,名词,感觉；意识；感官
1261,sentence,n,名词,句子
1262,September,n,名词,九月
1263,series,n,名词,连续；一系列
1264,serious,adj,形容词,严重的
1265,seriously,adv,副词,严肃地；严重地
1266,serve,v,动词,为……服务
1267,service,n,名词,服务；公用事业
1268,"set (set, set)",v,动词,放；安置；树立（榜样）；创造（记录）
1269,several,adj,形容词,几个；数个
1270,sex,n,名词,性别
1271,"shake (shook, shaken)",v,动词,握（手）；摇（头）
1272,shall (should),v. aux,v. aux,（和其他动词连用）将要；
1273,shame,n,名词,羞耻；遗憾的事，可惜
1274,shape,n,名词,形状；样子；外型
1275,share,v,动词,合用；分享
1276,sharp,adj,形容词,尖锐的，锐利的；准点的
1277,sheep (pl. sheep),n,名词,羊，绵羊
1278,shelf,n,名词,架子
1279,"shine (shone, shone)",v,动词,照耀；发光；发亮
1280,ship,n,名词,船；轮船
1281,shirt,n,名词,（男式）衬衫
1282,shoe,n,名词,鞋
1283,shop,n,名词,商店；店铺
1284,short,adj,形容词,短的；矮的
1285,shorts,n,名词,短裤
1286,should,v. aux,v. aux,应该
1287,shout,v,动词,n. 喊；高声喊叫
1288,shower,n,名词,"淋浴，阵雨 shut (shut, shut) v. 关闭"
1289,shy,adj,形容词,害羞的
1290,sick,adj,形容词,有病；生病；恶心的；要呕吐的
1291,side,n,名词,旁边；侧面；身体的侧边
1292,sight,n,名词,风景点；视力，视觉
1293,sightseeing,n,名词,观光，游览
1294,sign,n,名词,标志，标记，指示牌
1295,silent,adj,形容词,"沉默的,寂静无声的"
1296,silly,adj,形容词,愚蠢的
1297,simple,adj,形容词,简单的；朴素 的
1298,since,prep,介词,从……以来；自从
1299,"sing (sang, sung)",v,动词,唱；演唱
1300,single,n,名词,单身的；单一的
1301,sir,n,名词,先生
1302,sister,n,名词,姐（或妹）
1303,"sit (sat, sat)",v,动词,坐
1304,situation,n,名词,场面；形势
1305,size,n,名词,尺寸；大小
1306,skill,n,名词,技巧；技能；技艺
1307,skin,n,名词,皮肤
1308,skirt,n,名词,女裙
1309,sky,n,名词,天空；天
1310,"sleep (slept, slept)",v,动词,n. 睡觉；睡眠
1311,slide,n,名词,幻灯
1312,slow,adj,形容词,慢的；缓慢的
1313,slowly,adj,形容词,慢地；缓慢地
1314,small,adj,形容词,小的；少的
1315,smart,adj,形容词,聪明的；精明的
1316,"smell (smelt, smelt)",v,动词,嗅；闻到
1317,smile,v,动词,n. 微笑
1318,smoke,n,名词,烟；吸烟
1319,snack,n,名词,小吃
1320,snow,n,名词,雪
1321,snowy,adj,形容词,多雪的；下雪的
1322,so,adv,副词,（表示程度）那么；如此；也；
1323,soft,adj,形容词,软的
1324,softly,adv,副词,温柔地
1325,soldier,n,名词,士兵；军人
1326,solution,n,名词,解决（方法）；解答
1327,solve,v,动词,解决；解答
1328,some,adj,形容词,一些；有些；若干
1329,somebody/someone,pron,代词,有人；某人
1330,something,pron,代词,某事；某物；某东西
1331,sometimes,adv,副词,有时
1332,son,n,名词,儿子
1333,song,n,名词,歌曲；歌唱
1334,soon,adv,副词,不久；很快
1335,sorry,adj,形容词,抱歉的；对不起的；难过的
1336,sound,n,名词,声音；发音
1337,soup,n,名词,汤
1338,south,n,名词,南；南方
1339,space,n,名词,空间；太空
1340,spaceship,n,名词,宇宙飞船
1341,spare,adj,形容词,"多余的, 空闲的; 备用的"
1342,"speak (spoke, spoken)",v,动词,说话；讲话；讲（某种语言）
1343,special,adj,形容词,特殊的，特别的
1344,speech,n,名词,说话，讲话
1345,"spell (spelt, spelt)",v,动词,拼写
1346,"spend (spent, spent)",v,动词,花费（时间、金钱）；度过
1347,spoon,n,名词,汤匙
1348,sport,n,名词,运动；锻炼
1349,"spread (spread, spread)",v,动词,展开；传开
1350,spring,n,名词,春天；春季
1351,square,n,名词,广场；正方形
1352,staff,n,名词,(全体)工作人员; 职员
1353,stamp,n,名词,邮票
1354,"stand (stood, stood)",v,动词,站；站立
1355,star,n,名词,星
1356,start,n,名词,开端，开始
1357,state,n,名词,国家；（美国的）州；状态
1358,station,n,名词,（火车，汽车等）站；电台
1359,stay,v,动词,n. 停留；暂住；逗留
1360,steak,n,名词,牛排
1361,"steal (stole, stolen)",v,动词,偷
1362,steam,n,名词,水蒸气；水汽
1363,step,n,名词,（脚）步
1364,stick,n,名词,棍，棒；手仗
1365,still,adv,副词,还；仍然；更
1366,stocking,n,名词,长统袜
1367,stomach-ache,n,名词,胃痛
1368,stone,n,名词,石头
1369,stop,v,动词,使停止；阻止；停止；停下来（做某事）
1370,store,n,名词,商店
1371,storm,n,名词,暴（风）雨；暴（风）雪
1372,story,n,名词,故事；小说
1373,straight,adj,形容词,直的
1374,strange,adj,形容词,奇怪的；陌生的
1375,street,n,名词,街；街道
1376,strict,adj,形容词,严格的; 严密的
1377,"strike (struck, struck/stricken)",v,动词,敲；装击；打
1378,strong,adj,形容词,（身体）强壮的；坚强的；坚固的
1379,student,n,名词,学生
1380,study,n,名词,学习；研究；书房
1381,stupid,adj,形容词,愚蠢的
1382,subject,n,名词,科目；学科；（语法）主语
1383,succeed,v,动词,获得成功，达到目的
1384,success,n,名词,成功
1385,such,adj,形容词,这样的；那样的；如此的
1386,suddenly,adv,副词,突然；忽然
1387,sugar,n,名词,糖
1388,suggest,v,动词,建议，提议
1389,suggestion,n,名词,建议，提议
1390,summer,n,名词,夏天；夏季
1391,sun,n,名词,太阳；阳光
1392,Sunday,n,名词,星期日
1393,sunny,adj,形容词,阳光充足的，晴朗的
1394,supermarket,n,名词,超级市场
1395,supper,n,名词,晚饭
1396,suppose,v,动词,猜想，假设
1397,sure,adj,形容词,肯定的；确信的；有把握的
1398,surface,n,名词,表面
1399,surprise,n,名词,惊奇
1400,surprised,adj,形容词,感到惊奇的
1401,survey,v,动词,n. 调查
1402,"sweep (swept, swept)",v,动词,扫
1403,sweet,adj,形容词,甜的
1404,"swim (swam, swum)",v,动词,n. 游泳
1405,symbol,n,名词,"象征; 符号,记号"
1406,system,n,名词,系统；体系
1407,table,n,名词,桌子；表格
1408,talk,n,名词,v. 谈话；聊天；讲话；演讲
1409,tall,adj,形容词,高的
1410,tap,n,名词,龙头；阀门
1411,tape,n,名词,磁带
1412,task,n,名词,任务，工作
1413,taste,n,名词,味道
1414,taxi,n,名词,出租汽车
1415,tea,n,名词,茶，茶叶
1416,"teach (taught, taught)",v,动词,教；教书
1417,teacher,n,名词,教师；教员
1418,team,n,名词,队
1419,teenage,adj,形容词,十几岁的（指13—19），青少年的
1420,telephone (= phone),n,名词,电话；电话机
1421,television (TV),n,名词,电视
1422,"tell (told, told)",v,动词,告诉；讲述；吩咐
1423,temperature,n,名词,温度
1424,tennis,n,名词,网球
1425,term,n,名词,学期
1426,terrible,adj,形容词,可怕的；糟糕的
1427,test,n,名词,测验；考试
1428,text,n,名词,课文；正文
1429,than,conj,连词,比
1430,thank,v,动词,n. 感谢，谢谢
1431,thankful,adj,形容词,感激的
1432,that,adj,形容词,pron. 那，那个
1433,theatre,n,名词,剧院，剧场，戏院
1434,then,adv,副词,当时；那时；然后；后来；接着；那么
1435,there,adv,副词,在那儿；往那儿；（作引导词）表示“存在”
1436,these,adj,形容词,pron. 这些
1437,thick,adj,形容词,厚的；浓的
1438,thin,adj,形容词,瘦的；薄的；细的
1439,thing,n,名词,东西；事情
1440,"think (thought, thought)",v,动词,想；思考；认为；考虑
1441,thirsty,adj,形容词,渴
1442,this,adj,形容词,pron. 这；这个
1443,those,adj,形容词,pron 那些
1444,through,prep,介词,穿过；通过
1445,throughout,prep,介词,遍及；贯穿
1446,"throw (threw, thrown)",v,动词,投，掷，仍
1447,Thursday,n,名词,星期四
1448,thus,adv,副词,如此；这样；因而
1449,ticket,n,名词,票券
1450,tidy,adj,形容词,整洁的
1451,tie,n,名词,领带
1452,tiger,n,名词,老虎
1453,till,prep,介词,conj. 直到；直到……为止
1454,time,n,名词,时间；一段时间；时刻；钟点；次；回
1455,tired,adj,形容词,疲劳的；累
1456,title,n,名词,标题
1457,to,prep,介词,1. （表示方向）到；向；往
1458,today,adv,副词,n. 今天；现在；当前
1459,together,adv,副词,一起
1460,tomato,n,名词,西红柿，番茄
1461,tomorrow,adv,副词,n. 明天
1462,tonight,adv,副词,n 今天晚上，今晚
1463,too,adv,副词,也；太；过分
1464,tool,n,名词,工具
1465,tooth (pl. teeth),n,名词,牙齿
1466,toothache,n,名词,牙痛
1467,top,n,名词,顶部
1468,touch,n,名词,v. 接触；触摸
